F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
1 I     0     413       2  0  60 -20 -     0 -      ?        00:00:00 iprt-VBoxWQueue
1 I     0     416       2  0  60 -20 -     0 -      ?        00:00:00 ttm_swap
4 S   101     583       1  0  80   0 -  6044 -      ?        00:00:00 systemd-resolve
4 S   102     584       1  0  80   0 - 22603 -      ?        00:00:00 systemd-timesyn
4 S     0     610       1  0  80   0 - 61737 -      ?        00:00:00 accounts-daemon
4 S     0     611       1  0  80   0 -   635 -      ?        00:00:01 acpid
4 S     0     612       1  0  80   0 -  4198 -      ?        00:00:00 anacron
4 S   115     614       1  0  80   0 -  2125 -      ?        00:00:00 avahi-daemon
4 S     0     615       1  0  80   0 -  4511 -      ?        00:00:00 cron
4 S     0     616       1  0  80   0 -  9296 -      ?        00:00:00 cupsd
4 S   103     618       1  0  80   0 -  2493 -      ?        00:00:03 dbus-daemon
4 S     0     619       1  0  80   0 - 86131 -      ?        00:00:03 NetworkManager
4 S     0     633       1  0  80   0 - 20453 -      ?        00:00:00 irqbalance
4 S     0     634       1  0  80   0 - 11974 -      ?        00:00:00 networkd-dispat
4 S     0     638       1  0  80   0 - 62433 -      ?        00:00:01 polkitd
4 S   104     642       1  0  80   0 - 56126 -      ?        00:00:00 rsyslogd
4 S     0     649       1  0  80   0 - 324122 -     ?        00:00:08 snapd
4 S     0     650       1  0  80   0 - 61056 -      ?        00:00:00 switcheroo-cont
4 S     0     657       1  0  80   0 -  4237 -      ?        00:00:02 systemd-logind
4 S     0     659       1  0  80   0 - 98216 -      ?        00:00:00 udisksd
4 S     0     661       1  0  80   0 -  3416 -      ?        00:00:00 wpa_supplicant
1 S   115     663     614  0  80   0 -  2080 -      ?        00:00:00 avahi-daemon
4 S     0     669       1  0  80   0 - 116989 -     ?        00:00:00 vpnagentd
4 S     0     712       1  0  80   0 - 45106 -      ?        00:00:00 cups-browsed
4 S     0     719       1  0  80   0 - 31606 -      ?        00:00:00 unattended-upgr
4 S     0     722       1  0  80   0 - 78432 -      ?        00:00:00 ModemManager
4 S     0     738       1  0  80   0 - 76476 -      ?        00:00:00 lightdm
4 S     0     739       1  0  80   0 -  3040 -      ?        00:00:00 sshd
1 S     0     740       1  0  80   0 -  5390 -      ?        00:00:00 xrdp-sesman
1 S   128     771       1  0  80   0 -  5422 -      ?        00:00:00 xrdp
4 S     0     773     738  5  80   0 - 235214 -     tty7     00:05:15 Xorg
4 S     0     778       1  0  80   0 -  4265 -      tty1     00:00:00 agetty
